ID	year
Wuhan/Hu-1/2019	2019
Myanmar/DSMRC-066/2022	2022
Cambodia/VIR22-003509/2022	2022
Slovakia/UKBA-8639/2022	2022
Qatar/QA-QU-18-33-E7/2021	2021
Nigeria/NCDC-NR1643/2021	2021
Martinique/IPP03308/2022	2022
Guadeloupe/IPP52797/2021	2021
Aruba/AW-RIVM-77661/2021	2021
Argentina/INEI116775/2021	2021
Argentina/INEI118450/2022	2022
Finland/THL-202201870/2022	2022
Finland/THL-202200557/2022	2022
Namibia/N32160/2021	2021
Namibia/N25900/2021	2021
Croatia/27317/2022	2022
Croatia/22414/2022	2022
Slovenia/22-2041/2022	2022
Slovenia/590733/2021	2021
Bangladesh/icddrb-GSB09-070/2022	2022
Bangladesh/BCSIR-BSMMU-24/2022	2022
Austria/LB-R00057-S143/2022	2022
Austria/LB-R00054-S008/2022	2022
Austria/CeMM22820/2022	2022
Turkey/HSGM-F11247/2021	2021
Turkey/HSGM-F11251/2021	2021
Turkey/HSGM-F15582/2022	2022
Ecuador/NIC-INSPI-387882/2022	2022
Ecuador/NIC-INSPI-386822/2022	2022
Ecuador/NIC-INSPI-375551/2022	2022
Greece/46005/2021	2021
Greece/319128/2021	2021
Greece/45664/2021	2021
Greece/320406/2021	2021
Portugal/PT25945/2022	2022
Portugal/PT22988/2021	2021
Portugal/PT22872/2021	2021
Portugal/PT24047/2021	2021
Portugal/PT27139/2022	2022
Poland/PZH-GUM-8870/2022	2022
Poland/PZH-GUM-9020/2022	2022
Poland/PZH-GUM-8987/2022	2022
Poland/Kce-183/2022	2022
Poland/PZH-GUM-8474/2022	2022
Spain/CT-HUVH-EX10968/2022	2022
Spain/CL-COV21555/2022	2022
Spain/NC-CHN-01005793/2021	2021
Spain/NC-CHN-01005408/2021	2021
Spain/NC-CHN-01005983/2022	2022
Spain/CU-82730/2021	2021
Bulgaria/22BG-NC_014465_R24/2022	2022
Bulgaria/22BG-NC_015725_R26/2022	2022
Bulgaria/22BG-NC_015714_R26/2022	2022
Bulgaria/22BG-NC_015703_R26/2022	2022
Bulgaria/22BG-NC_015729_R26/2022	2022
Bulgaria/22BG-NC_014072_R23/2021	2021
Bulgaria/22BG-NC_015700_R26/2022	2022
Bulgaria/22BG-NC_015711_R26/2022	2022
Wales/PHWC-PGI6AG/2021	2021
Wales/PHWC-PGWTCQ/2021	2021
Wales/PHWC-PGXGSX/2021	2021
Wales/PHWC-PGJQJQ/2021	2021
Wales/PHWC-PGJ34Y/2021	2021
Wales/PHWC-PGWCWN/2021	2021
Wales/PHWC-PGW9P6/2021	2021
Wales/PHWC-PGWHB3/2021	2021
Eswatini/N28456/2021	2021
Eswatini/N28467/2021	2021
Eswatini/N28469/2021	2021
Eswatini/N28527/2021	2021
Eswatini/N28552/2021	2021
Eswatini/N22799/2021	2021
Eswatini/N28493/2021	2021
Eswatini/N28431/2021	2021
Romania/B-39707/2021	2021
Romania/B-39738/2021	2021
Romania/IF-2906/2022	2022
Romania/IS-3477/2022	2022
Romania/IS-383/2022	2022
Romania/B-1796/2022	2022
Romania/B-359/2022	2022
Romania/B-422/2022	2022
Romania/IS-1874/2022	2022
Brunei/7122007816/2022	2022
Brunei/9822003493/2022	2022
Brunei/7122001905/2022	2022
Brunei/9822003754/2022	2022
Brunei/9822003775/2022	2022
Brunei/7122011992/2022	2022
Brunei/7122001253/2022	2022
Brunei/7122007822/2022	2022
Brunei/9822003500/2022	2022
Brunei/7122006607/2022	2022
Djibouti/NAMRU3_A552/2021	2021
Djibouti/NAMRU3_H988/2021	2021
Djibouti/NAMRU3_H673/2021	2021
Djibouti/NAMRU3_A542/2021	2021
Djibouti/NAMRU3_A434/2021	2021
Djibouti/NAMRU3_A117/2022	2022
Djibouti/NAMRU3_H989/2021	2021
Djibouti/NAMRU3_A471/2021	2021
Djibouti/NAMRU3_A429/2021	2021
Djibouti/NAMRU3_A583/2021	2021
SouthAfrica/NICD-N32495/2021	2021
SouthAfrica/NICD-N21601-DX04008/2021	2021
SouthAfrica/CERI-KRISP-K032331/2021	2021
SouthAfrica/CERI-KRISP-K030836/2021	2021
SouthAfrica/NICD-N21437/2021	2021
SouthAfrica/CERI-KRISP-K032198/2021	2021
SouthAfrica/NICD-N21398/2021	2021
SouthAfrica/NICD-N21441/2021	2021
SouthAfrica/NICD-N21614/2021	2021
SouthAfrica/NICD-N23376/2021	2021
Norway/35394/2021	2021
Norway/Ahus-3046/2022	2022
Norway/35379/2021	2021
Norway/35348/2021	2021
Norway/33501/2021	2021
Norway/35559/2021	2021
Norway/34846/2021	2021
Norway/35331/2021	2021
Norway/35333/2021	2021
Norway/34928/2021	2021
Canada/ON-PHL-21-41647/2021	2021
Canada/BC-BCCDC-334608/2022	2022
Canada/BC-BCCDC-274101/2021	2021
Canada/BC-BCCDC-316352/2021	2021
Canada/SK-NML-322468/2022	2022
Canada/QC-1nIROK-U025100299/2021	2021
Canada/BC-BCCDC-328723/2022	2022
Canada/BC-BCCDC-312873/2021	2021
Canada/BC-BCCDC-327697/2021	2021
Canada/SK-NML-298237/2021	2021
Thailand/NIC_BKK_SEQ3622/2022	2022
Thailand/DMSc-05959/2021	2021
Thailand/DMSc-06032/2021	2021
Thailand/NIC-BKK-SEQ23091/2021	2021
Thailand/DMSc-07338/2022	2022
Thailand/NIC-BKK-SEQ23098/2021	2021
Thailand/DMSc-05858/2021	2021
Thailand/DMSc-05791/2021	2021
Thailand/DMSc-07360/2022	2022
Thailand/DMSc-06013/2021	2021
Singapore/1056/2022	2022
Singapore/971/2022	2022
Singapore/810/2022	2022
Singapore/1125/2022	2022
Singapore/1054/2022	2022
Singapore/568/2022	2022
Singapore/9481/2021	2021
Singapore/1118/2022	2022
Singapore/1120/2022	2022
Singapore/8993/2021	2021
Chile/RM-10194/2022	2022
Chile/ML-198687/2021	2021
Chile/TA-199083/2021	2021
Chile/VS-197294/2021	2021
Chile/AP-6796/2022	2022
Chile/AP-6794/2022	2022
Chile/RM-198075/2021	2021
Chile/TA-198265/2021	2021
Chile/AT-6687/2022	2022
Chile/RM-198222/2021	2021
Australia/QLD24959/2022	2022
Australia/ACT-2293/2021	2021
Australia/ACT-2189/2021	2021
