Protein	Beg	End	Reference
orf1ab_bf	266	13468	MN908947.3
orf1ab_af	13468	21555	MN908947.3
S	21563	25384	MN908947.3
ORF3a	25393	26220	MN908947.3
E	26245	26472	MN908947.3
M	26523	27191	MN908947.3
ORF6	27202	27387	MN908947.3
ORF7	27394	27759	MN908947.3
ORF8	27894	28259	MN908947.3
N	28274	29533	MN908947.3
ORF10	29558	29674	MN908947.3
